Periodo	     TO
2012-01-01	8.4	
2012-04-01  7.7
2012-07-01  7.2
2012-10-01  7.6
2013-01-01  9.3
2013-04-01  8.2
2013-07-01  6.2
2013-10-01  6.4
2014-01-01  8.5
2014-04-01  7.7
2014-07-01  7.5
2014-10-01  6.3
2015-01-01  8.7
2015-04-01  7.6
2015-07-01  9.2
2015-10-01  9.0
2016-01-01  10.7
2016-04-01  11.2
2016-07-01  10.8
2016-10-01  13.1
2017-01-01  12.6
2017-04-01  11.7
2017-07-01  11.8
2017-10-01  10.5
2018-01-01  11.0
2018-04-01  11.3
2018-07-01  9.8
2018-10-01  10.4
2019-01-01  12.3
2019-04-01  11.4
2019-07-01  10.5
2019-10-01  9.1
2020-01-01  11.2

